chrom	start	end	name	color
chr1	46300000	46700000	A2	#f78200
chr1	46700000	46850000	B1	#009cdf
chr1	46900000	47050000	B1	#009cdf
chr1	47100000	47150000	B1	#009cdf
chr1	47150000	47800000	A2	#f78200
chr1	47800000	48850000	B1	#009cdf
chr1	48850000	50050000	B4	#973999
chr1	50050000	50600000	B1	#009cdf
chr1	50600000	55400000	A2	#f78200
chr1	55400000	57100000	B1	#009cdf
chr1	57100000	58000000	B4	#973999
chr1	58000000	58550000	B1	#009cdf
chr1	58550000	58950000	A2	#f78200
chr1	58950000	61650000	B1	#009cdf
chr1	61650000	62850000	A2	#f78200
chr1	62850000	62900000	B0	#5ebd3e
chr1	62900000	62950000	A2	#f78200
chr1	62950000	63200000	B1	#009cdf
chr1	63200000	63300000	B0	#5ebd3e
chr1	63300000	63850000	A2	#f78200
chr1	63850000	63900000	B0	#5ebd3e
chr1	63900000	63950000	A2	#f78200
chr1	63950000	64100000	B0	#5ebd3e
chr1	64100000	64150000	B1	#009cdf
chr1	64150000	64300000	B0	#5ebd3e
chr1	64300000	64400000	A2	#f78200
chr1	64400000	64450000	B0	#5ebd3e
chr1	64450000	64550000	A2	#f78200
chr1	64550000	64600000	B0	#5ebd3e
chr1	64600000	65300000	A2	#f78200
chr1	65300000	66300000	B0	#5ebd3e
chr1	66300000	66350000	A2	#f78200
chr1	66350000	66900000	B0	#5ebd3e
chr1	66900000	67050000	A2	#f78200
chr1	67050000	67100000	B0	#5ebd3e
chr1	67100000	67200000	A2	#f78200
chr1	67200000	67250000	B0	#5ebd3e
chr1	67250000	67950000	A2	#f78200
chr1	67950000	68000000	B0	#5ebd3e
chr1	68000000	68050000	A2	#f78200
chr1	68050000	68100000	B0	#5ebd3e
chr1	68100000	68500000	A2	#f78200
chr1	68500000	68750000	B0	#5ebd3e
chr1	68750000	70150000	B1	#009cdf
chr1	70150000	70450000	A2	#f78200
chr1	70450000	71200000	B1	#009cdf
chr1	71200000	72300000	B4	#973999
chr1	72350000	74050000	B4	#973999
chr1	74050000	75700000	B1	#009cdf
chr1	75700000	75850000	A2	#f78200
chr1	75850000	75900000	B0	#5ebd3e
chr1	75900000	75950000	A2	#f78200
chr1	75950000	76000000	B0	#5ebd3e
chr1	76000000	76950000	B1	#009cdf
chr1	76950000	77500000	B0	#5ebd3e
chr1	77500000	78150000	A2	#f78200
chr1	78150000	78550000	B1	#009cdf
chr1	78550000	78600000	B0	#5ebd3e
chr1	78600000	78650000	B1	#009cdf
chr1	78650000	83150000	B0	#5ebd3e
chr1	83500000	83900000	B1	#009cdf
chr1	83900000	84000000	B0	#5ebd3e
chr1	84000000	85750000	A2	#f78200
chr1	85750000	86700000	B0	#5ebd3e
chr1	86700000	87350000	A2	#f78200
chr1	87350000	88650000	B0	#5ebd3e
chr1	88650000	89050000	A2	#f78200
chr1	89050000	89500000	B1	#009cdf
chr1	89500000	90000000	A2	#f78200
chr1	90000000	90850000	B1	#009cdf
chr1	90850000	91300000	A2	#f78200
chr1	91300000	91400000	B0	#5ebd3e
chr1	91400000	95200000	A2	#f78200
chr1	95200000	96700000	B1	#009cdf
chr1	96700000	96800000	A2	#f78200
chr1	96800000	97100000	B1	#009cdf
chr1	97100000	98750000	B0	#5ebd3e
chr1	98750000	99100000	B1	#009cdf
chr1	99100000	99150000	B0	#5ebd3e
chr1	99150000	99650000	B1	#009cdf
chr1	99650000	100450000	A2	#f78200
chr1	100450000	100850000	B1	#009cdf
chr1	100850000	101100000	A2	#f78200
chr1	101100000	101900000	B1	#009cdf
chr1	101900000	102550000	B4	#973999
chr1	102550000	102600000	B1	#009cdf
chr1	102600000	102950000	B4	#973999
chr1	102950000	103000000	B1	#009cdf
chr1	103000000	103050000	B4	#973999
chr1	103050000	103100000	B1	#009cdf
chr1	103100000	103200000	B4	#973999
chr1	103200000	103600000	B1	#009cdf
chr1	103800000	107750000	B4	#973999
chr1	107750000	108200000	B1	#009cdf
chr1	108300000	108350000	B1	#009cdf
chr1	108500000	109200000	A2	#f78200
chr1	109200000	109350000	A1	#e23838
chr1	109350000	109400000	A2	#f78200
chr1	109400000	109650000	A1	#e23838
chr1	109650000	110600000	A2	#f78200
chr1	110600000	111100000	B1	#009cdf
chr1	111100000	111250000	A2	#f78200
chr1	111250000	111300000	B1	#009cdf
chr1	111300000	111800000	A2	#f78200
chr1	111800000	112300000	B1	#009cdf
chr1	112300000	114950000	A2	#f78200
chr1	114950000	115000000	B1	#009cdf
chr1	115000000	115250000	A2	#f78200
chr1	115250000	115400000	B1	#009cdf
chr1	115400000	116600000	A2	#f78200
chr1	116650000	117650000	A2	#f78200
chr1	117650000	118200000	B1	#009cdf
chr1	118200000	118850000	B4	#973999
chr1	118850000	119550000	B1	#009cdf
chr1	119550000	120000000	A2	#f78200
chr1	121450000	121500000	B1	#009cdf
chr1	143550000	143600000	B1	#009cdf
chr1	143650000	143700000	B1	#009cdf
chr1	145700000	145800000	A2	#f78200
chr1	145800000	146050000	A1	#e23838
chr1	147050000	147150000	B1	#009cdf
chr1	147150000	147300000	A2	#f78200
chr1	147300000	147500000	B1	#009cdf
chr1	147500000	147900000	A2	#f78200
chr1	148250000	148400000	A2	#f78200
chr1	149900000	151650000	A1	#e23838
chr1	151650000	152150000	A2	#f78200
chr1	152150000	153450000	B1	#009cdf
chr1	153450000	153550000	A2	#f78200
chr1	153550000	153700000	A1	#e23838
chr1	153850000	155200000	A1	#e23838
chr1	155300000	156950000	A1	#e23838
chr1	156950000	157200000	A2	#f78200
chr1	157200000	158000000	B1	#009cdf
chr1	158000000	158100000	A2	#f78200
chr1	158100000	158500000	B1	#009cdf
chr1	158500000	158950000	B4	#973999
chr1	158950000	159800000	B1	#009cdf
chr1	159800000	161000000	A2	#f78200
chr1	161000000	161500000	A1	#e23838
chr1	161700000	162950000	A2	#f78200
chr1	162950000	163850000	B1	#009cdf
chr1	163850000	163900000	B4	#973999
chr1	163900000	163950000	B1	#009cdf
chr1	163950000	164100000	B4	#973999
chr1	164100000	165600000	B1	#009cdf
chr1	165600000	165900000	A2	#f78200
chr1	165900000	166850000	B1	#009cdf
chr1	166850000	168500000	A2	#f78200
chr1	168500000	168950000	B0	#5ebd3e
chr1	168950000	169000000	B1	#009cdf
chr1	169000000	169100000	B0	#5ebd3e
chr1	169100000	169200000	A2	#f78200
chr1	169200000	169300000	B0	#5ebd3e
chr1	169300000	169550000	A2	#f78200
chr1	169550000	169800000	B1	#009cdf
chr1	169800000	169900000	A2	#f78200
chr1	169900000	170000000	B1	#009cdf
chr1	170000000	170050000	B0	#5ebd3e
chr1	170050000	171350000	B1	#009cdf
chr1	171350000	171850000	A2	#f78200
chr1	171850000	172450000	B0	#5ebd3e
chr1	172450000	172550000	A2	#f78200
chr1	172550000	173400000	B0	#5ebd3e
chr1	173400000	174300000	A2	#f78200
chr1	174300000	174800000	B0	#5ebd3e
chr1	174800000	175200000	A2	#f78200
chr1	175200000	178050000	B1	#009cdf
chr1	178050000	179400000	A2	#f78200
chr1	179400000	179500000	B0	#5ebd3e
chr1	179500000	179800000	B1	#009cdf
chr1	179800000	181200000	A2	#f78200
chr1	181200000	182250000	B1	#009cdf
chr1	182250000	184000000	A2	#f78200
chr1	184000000	184300000	B1	#009cdf
chr1	184300000	184400000	B0	#5ebd3e
chr1	184400000	184500000	B1	#009cdf
chr1	184500000	184550000	B0	#5ebd3e
chr1	184550000	184650000	B1	#009cdf
chr1	184650000	184750000	B0	#5ebd3e
chr1	184750000	184800000	A2	#f78200
chr1	184800000	184850000	B1	#009cdf
chr1	184850000	184950000	B0	#5ebd3e
chr1	184950000	185300000	A2	#f78200
chr1	185300000	185350000	B0	#5ebd3e
chr1	185350000	185400000	B1	#009cdf
chr1	185400000	186250000	B0	#5ebd3e
chr1	186250000	186450000	A2	#f78200
chr1	186450000	192800000	B0	#5ebd3e
chr1	192800000	192850000	A2	#f78200
chr1	192850000	192900000	B0	#5ebd3e
chr1	192900000	193350000	A2	#f78200
chr1	193350000	196750000	B0	#5ebd3e
chr1	196850000	198350000	B0	#5ebd3e
chr1	198750000	199950000	B0	#5ebd3e
chr1	199950000	201850000	A2	#f78200
chr1	201850000	202150000	A1	#e23838
chr1	202150000	206150000	A2	#f78200
chr1	206400000	207500000	A2	#f78200
chr1	207550000	208000000	A2	#f78200
chr1	208000000	208650000	B1	#009cdf
chr1	208650000	209150000	B4	#973999
chr1	209150000	209650000	B1	#009cdf
chr1	209650000	209800000	A2	#f78200
chr1	209800000	211300000	B1	#009cdf
chr1	211300000	213150000	A2	#f78200
chr1	213150000	214400000	B1	#009cdf
chr1	214400000	214600000	A2	#f78200
chr1	214600000	215900000	B1	#009cdf
chr1	215900000	217250000	B4	#973999
chr1	217250000	220000000	B1	#009cdf
chr1	220000000	220300000	A2	#f78200
chr1	220300000	222450000	B1	#009cdf
chr1	222500000	222600000	B1	#009cdf
chr1	222600000	222900000	A2	#f78200
chr1	222900000	222950000	B1	#009cdf
chr1	222950000	223300000	A2	#f78200
chr1	223300000	223450000	B1	#009cdf
chr1	223450000	223550000	A2	#f78200
chr1	223600000	223900000	A2	#f78200
chr1	224050000	224550000	A2	#f78200
chr1	224550000	225400000	B1	#009cdf
chr1	225400000	228100000	A2	#f78200
chr1	228100000	228550000	A1	#e23838
chr1	228650000	229650000	A2	#f78200
chr1	229650000	230100000	B1	#009cdf
chr1	230100000	230150000	A2	#f78200
chr1	230150000	230800000	B1	#009cdf
chr1	230800000	231600000	A2	#f78200
chr1	231600000	233250000	B1	#009cdf
chr1	233250000	233450000	A2	#f78200
chr1	233450000	233500000	B1	#009cdf
chr1	233500000	233550000	A2	#f78200
chr1	233550000	233600000	B1	#009cdf
chr1	233600000	233650000	A2	#f78200
chr1	233650000	234150000	B1	#009cdf
chr1	234200000	234250000	B1	#009cdf
chr1	234250000	236650000	A2	#f78200
chr1	236650000	237150000	B1	#009cdf
chr1	237150000	241350000	B4	#973999
chr1	241350000	242250000	B1	#009cdf
chr1	242350000	242900000	B1	#009cdf
chr1	243900000	244650000	B1	#009cdf
chr1	244650000	245100000	A2	#f78200
chr1	245100000	245300000	B1	#009cdf
chr1	245750000	246400000	B1	#009cdf
chr1	246400000	247000000	A2	#f78200
chr1	247000000	247100000	B4	#973999
chr1	247100000	247150000	A2	#f78200
chr1	247150000	247200000	B4	#973999
chr1	247200000	247600000	B1	#009cdf
chr1	247600000	248250000	B4	#973999
chr1	248300000	248350000	B4	#973999
chr1	248600000	248850000	B1	#009cdf
chr1	248850000	248950000	A2	#f78200
chr2	0	200000	A2	#f78200
chr2	200000	750000	B1	#009cdf
chr2	850000	1200000	B1	#009cdf
chr2	1550000	2000000	B1	#009cdf
chr2	2000000	2600000	B4	#973999
chr2	2600000	3300000	B1	#009cdf
chr2	3300000	3400000	A2	#f78200
chr2	3500000	3700000	A2	#f78200
chr2	3700000	3950000	B1	#009cdf
chr2	3950000	6700000	B4	#973999
chr2	6700000	8550000	B1	#009cdf
chr2	8550000	11800000	A2	#f78200
chr2	11800000	13050000	B1	#009cdf
chr2	13050000	14900000	B4	#973999
chr2	14900000	15500000	B1	#009cdf
chr2	15500000	15750000	A2	#f78200
chr2	15750000	17550000	B1	#009cdf
chr2	17550000	17650000	A2	#f78200
chr2	17650000	17700000	B1	#009cdf
chr2	17700000	17750000	A2	#f78200
chr2	17750000	19700000	B1	#009cdf
chr2	19700000	20650000	A2	#f78200
chr2	20650000	21250000	B1	#009cdf
chr2	21250000	23000000	B4	#973999
chr2	23000000	23600000	B1	#009cdf
chr2	23600000	26600000	A2	#f78200
chr2	26600000	27750000	A1	#e23838
chr2	27750000	29200000	A2	#f78200
chr2	29200000	30200000	B1	#009cdf
chr2	30200000	30250000	A2	#f78200
chr2	30250000	31900000	B1	#009cdf
chr2	31900000	32950000	A2	#f78200
chr2	32950000	33750000	B1	#009cdf
chr2	33750000	35750000	B4	#973999
chr2	35800000	35900000	B4	#973999
chr2	35900000	36200000	B1	#009cdf
chr2	36350000	39500000	A2	#f78200
chr2	39500000	40650000	B1	#009cdf
chr2	40650000	41600000	B4	#973999
chr2	41600000	42050000	B1	#009cdf
chr2	42050000	44600000	A2	#f78200
chr2	44600000	44750000	B0	#5ebd3e
chr2	44750000	44850000	B1	#009cdf
chr2	44850000	45050000	A2	#f78200
chr2	45050000	45150000	B1	#009cdf
chr2	45150000	48600000	A2	#f78200
chr2	48600000	49000000	B1	#009cdf
chr2	49000000	50300000	B4	#973999
chr2	50300000	50600000	B1	#009cdf
chr2	50600000	53650000	B0	#5ebd3e
chr2	53650000	55800000	A2	#f78200
chr2	55800000	58050000	B0	#5ebd3e
chr2	58050000	58250000	A2	#f78200
chr2	58250000	58450000	B0	#5ebd3e
chr2	58450000	59050000	B1	#009cdf
chr2	59050000	60000000	B4	#973999
chr2	60000000	60500000	B1	#009cdf
chr2	60500000	61200000	A2	#f78200
chr2	61200000	61550000	A1	#e23838
chr2	61550000	62600000	A2	#f78200
chr2	62600000	62650000	B0	#5ebd3e
chr2	62650000	62750000	A2	#f78200
chr2	62750000	63750000	B0	#5ebd3e
chr2	63750000	65600000	A2	#f78200
chr2	65600000	66400000	B1	#009cdf
chr2	66400000	67200000	B4	#973999
chr2	67200000	68100000	B1	#009cdf
chr2	68100000	68350000	A2	#f78200
chr2	68350000	68900000	B1	#009cdf
chr2	68900000	70050000	A2	#f78200
chr2	70050000	70300000	A1	#e23838
chr2	70300000	73100000	A2	#f78200
chr2	73100000	73300000	A1	#e23838
chr2	73300000	73750000	A2	#f78200
chr2	73750000	74600000	A1	#e23838
chr2	74600000	74950000	A2	#f78200
chr2	74950000	75850000	B1	#009cdf
chr2	75850000	77650000	B4	#973999
chr2	77700000	81100000	B4	#973999
chr2	81100000	84450000	B1	#009cdf
chr2	84450000	84500000	A2	#f78200
chr2	84500000	84800000	B1	#009cdf
chr2	84800000	85300000	A2	#f78200
chr2	85300000	86200000	A1	#e23838
chr2	86200000	86700000	A2	#f78200
chr2	86750000	86850000	A2	#f78200
chr2	88000000	88750000	A2	#f78200
chr2	88750000	89000000	B1	#009cdf
chr2	89750000	89850000	B1	#009cdf
chr2	94750000	94800000	B1	#009cdf
chr2	94850000	95000000	B1	#009cdf
chr2	95000000	95400000	A2	#f78200
chr2	95500000	95600000	A2	#f78200
chr2	95650000	95750000	A2	#f78200
chr2	95800000	95850000	A2	#f78200
chr2	96050000	97000000	A1	#e23838
chr2	97650000	99600000	A2	#f78200
chr2	99600000	100250000	B1	#009cdf
chr2	100250000	100350000	A2	#f78200
chr2	100350000	100500000	B1	#009cdf
chr2	100500000	102250000	A2	#f78200
chr2	102250000	103050000	B1	#009cdf
chr2	103050000	104600000	B4	#973999
chr2	104600000	105000000	B1	#009cdf
chr2	105000000	105550000	A2	#f78200
chr2	105550000	105750000	B1	#009cdf
chr2	105750000	105900000	A2	#f78200
chr2	105900000	106050000	B1	#009cdf
chr2	106050000	106200000	A2	#f78200
chr2	106200000	106350000	B1	#009cdf
chr2	106500000	106700000	B1	#009cdf
chr2	106700000	107800000	B4	#973999
chr2	107900000	108100000	B4	#973999
chr2	108100000	108450000	B1	#009cdf
chr2	108450000	108650000	A2	#f78200
chr2	108700000	109750000	A2	#f78200
chr2	110100000	110250000	A2	#f78200
chr2	110650000	111250000	A2	#f78200
chr2	111600000	111700000	A2	#f78200
chr2	111850000	112350000	A2	#f78200
chr2	112450000	112550000	A2	#f78200
chr2	112550000	112700000	A1	#e23838
chr2	112700000	113400000	A2	#f78200
chr2	113650000	114000000	A2	#f78200
chr2	114000000	114350000	B1	#009cdf
chr2	114350000	115900000	B4	#973999
chr2	116050000	116850000	B4	#973999
chr2	117000000	117650000	B4	#973999
chr2	117650000	118000000	B1	#009cdf
chr2	118000000	118200000	A2	#f78200
chr2	118200000	119150000	B1	#009cdf
chr2	119150000	121800000	A2	#f78200
chr2	121800000	122300000	B1	#009cdf
chr2	122300000	126500000	B4	#973999
chr2	126500000	127000000	B1	#009cdf
chr2	127000000	128550000	A2	#f78200
chr2	128550000	130000000	B1	#009cdf
chr2	130150000	130200000	A2	#f78200
chr2	130250000	130400000	A2	#f78200
chr2	130700000	131200000	A2	#f78200
chr2	131300000	131350000	B1	#009cdf
chr2	131400000	131600000	A2	#f78200
chr2	131600000	131650000	B1	#009cdf
chr2	131650000	131700000	A2	#f78200
chr2	132250000	132300000	B1	#009cdf
chr2	132350000	134100000	B1	#009cdf
chr2	134100000	134250000	A2	#f78200
chr2	134250000	134750000	B1	#009cdf
chr2	134750000	136200000	A2	#f78200
chr2	136200000	136700000	B1	#009cdf
chr2	136700000	137650000	B4	#973999
chr2	137650000	138250000	B1	#009cdf
chr2	138250000	140950000	B0	#5ebd3e
chr2	141450000	147500000	B0	#5ebd3e
chr2	147500000	147550000	B1	#009cdf
chr2	147550000	148600000	B0	#5ebd3e
chr2	148600000	148650000	B1	#009cdf
chr2	148650000	148900000	B0	#5ebd3e
chr2	148900000	148950000	B1	#009cdf
chr2	149000000	149100000	B1	#009cdf
chr2	149100000	149150000	B0	#5ebd3e
chr2	149150000	149400000	B1	#009cdf
chr2	149400000	149500000	B0	#5ebd3e
chr2	149500000	149550000	B1	#009cdf
chr2	149550000	151250000	B0	#5ebd3e
chr2	151250000	152750000	A2	#f78200
chr2	152750000	156300000	B0	#5ebd3e
chr2	156300000	156500000	A2	#f78200
chr2	156500000	158700000	B0	#5ebd3e
chr2	158700000	159900000	A2	#f78200
chr2	159900000	160150000	B0	#5ebd3e
chr2	160150000	160400000	A2	#f78200
chr2	160400000	161150000	B0	#5ebd3e
chr2	161150000	161350000	A2	#f78200
chr2	161350000	162350000	B0	#5ebd3e
chr2	162350000	164650000	B1	#009cdf
chr2	164650000	164950000	B0	#5ebd3e
chr2	164950000	166550000	B1	#009cdf
chr2	166550000	167100000	B4	#973999
chr2	167100000	167250000	B1	#009cdf
chr2	167250000	167300000	B4	#973999
chr2	167300000	168100000	B1	#009cdf
chr2	168100000	168600000	A2	#f78200
chr2	168600000	168750000	B0	#5ebd3e
chr2	168750000	168800000	A2	#f78200
chr2	168800000	168850000	B0	#5ebd3e
chr2	168950000	169400000	B0	#5ebd3e
chr2	169400000	174850000	A2	#f78200
chr2	174850000	174900000	B0	#5ebd3e
chr2	174900000	175200000	A2	#f78200
chr2	175200000	175300000	B0	#5ebd3e
chr2	175300000	175350000	B1	#009cdf
chr2	175350000	175400000	B0	#5ebd3e
chr2	175400000	176050000	B1	#009cdf
chr2	176050000	176300000	A2	#f78200
chr2	176300000	177150000	B1	#009cdf
chr2	177150000	177600000	A2	#f78200
chr2	177600000	177850000	B1	#009cdf
chr2	177850000	177950000	B0	#5ebd3e
chr2	177950000	178100000	B1	#009cdf
chr2	178100000	178300000	A2	#f78200
chr2	178300000	178400000	B1	#009cdf
chr2	178400000	178450000	A2	#f78200
chr2	178450000	179000000	B1	#009cdf
chr2	179000000	181750000	B0	#5ebd3e
chr2	181750000	182000000	A2	#f78200
chr2	182000000	182750000	B0	#5ebd3e
chr2	182750000	183250000	A2	#f78200
chr2	183250000	189400000	B0	#5ebd3e
chr2	189400000	189600000	A2	#f78200
chr2	189600000	189650000	B0	#5ebd3e
chr2	189650000	189900000	A2	#f78200
chr2	189900000	190200000	B0	#5ebd3e
chr2	190200000	191900000	A2	#f78200
chr2	191900000	195650000	B0	#5ebd3e
chr2	195650000	195700000	A2	#f78200
chr2	195700000	196150000	B0	#5ebd3e
chr2	196150000	196250000	A2	#f78200
chr2	196250000	196500000	B1	#009cdf
chr2	196500000	197600000	A2	#f78200
chr2	197600000	200300000	B1	#009cdf
chr2	200300000	203550000	A2	#f78200
chr2	203550000	204650000	B1	#009cdf
chr2	204900000	206000000	B1	#009cdf
chr2	206000000	206200000	A2	#f78200
chr2	206200000	207350000	B1	#009cdf
chr2	207350000	208250000	A2	#f78200
chr2	208250000	210950000	B1	#009cdf
chr2	210950000	211000000	B0	#5ebd3e
chr2	211000000	211450000	B1	#009cdf
chr2	211450000	211750000	B0	#5ebd3e
chr2	211750000	211800000	B1	#009cdf
chr2	211800000	212450000	B0	#5ebd3e
chr2	212450000	212550000	B1	#009cdf
chr2	212550000	212650000	B0	#5ebd3e
chr2	212650000	213600000	B1	#009cdf
chr2	213600000	213650000	B0	#5ebd3e
chr2	213650000	213950000	B1	#009cdf
chr2	213950000	214000000	B0	#5ebd3e
chr2	214000000	215300000	B1	#009cdf
chr2	215300000	215400000	A2	#f78200
chr2	215400000	215950000	B1	#009cdf
chr2	215950000	216700000	A2	#f78200
chr2	216700000	217800000	B1	#009cdf
chr2	217800000	218600000	A2	#f78200
chr2	218600000	218900000	A1	#e23838
chr2	218900000	218950000	A2	#f78200
chr2	218950000	219650000	A1	#e23838
chr2	219650000	220200000	A2	#f78200
chr2	220200000	220350000	B0	#5ebd3e
chr2	220350000	222600000	B1	#009cdf
chr2	222600000	223000000	A2	#f78200
chr2	223000000	223500000	B1	#009cdf
chr2	223500000	224700000	A2	#f78200
chr2	224700000	225750000	B1	#009cdf
chr2	225750000	226100000	B0	#5ebd3e
chr2	226100000	226200000	A2	#f78200
chr2	226200000	226600000	B0	#5ebd3e
chr2	226600000	227650000	A2	#f78200
chr2	227650000	229750000	B1	#009cdf
chr2	229750000	230250000	A2	#f78200
chr2	230250000	230300000	B1	#009cdf
chr2	230300000	231650000	A2	#f78200
chr2	231650000	231750000	A1	#e23838
chr2	231750000	236000000	A2	#f78200
chr2	236000000	236050000	B1	#009cdf
chr2	236050000	236200000	A2	#f78200
chr2	236200000	237150000	B1	#009cdf
chr2	237150000	240300000	A2	#f78200
chr2	240300000	241800000	A1	#e23838
chr3	50000	550000	B4	#973999
chr3	600000	3000000	B4	#973999
chr3	3000000	3250000	B1	#009cdf
chr3	3250000	4000000	B4	#973999
chr3	4000000	4150000	B1	#009cdf
chr3	4250000	4800000	B1	#009cdf
chr3	4800000	5200000	A2	#f78200
chr3	5200000	6400000	B1	#009cdf
chr3	6400000	7250000	B4	#973999
chr3	7250000	8600000	B1	#009cdf
chr3	8600000	9750000	A2	#f78200
chr3	9750000	10050000	A1	#e23838
chr3	10050000	11800000	A2	#f78200
chr3	12000000	16350000	A2	#f78200
chr3	16350000	17500000	B1	#009cdf
chr3	17500000	17750000	A2	#f78200
chr3	17750000	18750000	B1	#009cdf
chr3	18750000	19700000	B4	#973999
chr3	19700000	20250000	B1	#009cdf
chr3	20400000	20450000	B1	#009cdf
chr3	20450000	22900000	B4	#973999
chr3	22900000	23600000	B1	#009cdf
chr3	23600000	24150000	A2	#f78200
chr3	24150000	26050000	B1	#009cdf
chr3	26050000	26900000	B4	#973999
chr3	26900000	27350000	B1	#009cdf
chr3	27350000	27700000	A2	#f78200
chr3	27700000	30050000	B1	#009cdf
chr3	30050000	30550000	B0	#5ebd3e
chr3	30550000	30750000	A2	#f78200
chr3	30750000	30950000	B1	#009cdf
chr3	30950000	31050000	B0	#5ebd3e
chr3	31050000	31450000	B1	#009cdf
chr3	31450000	33850000	A2	#f78200
chr3	33850000	34300000	B1	#009cdf
chr3	34300000	36450000	B4	#973999
chr3	36450000	36950000	B1	#009cdf
chr3	36950000	37400000	A2	#f78200
chr3	37400000	37850000	B1	#009cdf
chr3	37850000	38650000	A2	#f78200
chr3	38650000	39050000	B1	#009cdf
chr3	39050000	39300000	A2	#f78200
chr3	39300000	39350000	B1	#009cdf
chr3	39350000	39450000	A2	#f78200
chr3	39450000	40450000	B1	#009cdf
chr3	40450000	40500000	A2	#f78200
chr3	40500000	41900000	B1	#009cdf
chr3	41900000	44100000	A2	#f78200
chr3	44100000	44200000	B1	#009cdf
chr3	44200000	46850000	A2	#f78200
chr3	46850000	50700000	A1	#e23838
chr3	50700000	51050000	A2	#f78200
chr3	51050000	51100000	B1	#009cdf
chr3	51100000	51450000	A2	#f78200
chr3	51450000	53200000	A1	#e23838
chr3	53200000	53550000	A2	#f78200
chr3	53550000	53700000	B1	#009cdf
chr3	53700000	53900000	A2	#f78200
chr3	53900000	54450000	B1	#009cdf
chr3	54450000	56150000	B4	#973999
chr3	56150000	56600000	B1	#009cdf
chr3	56600000	58650000	A2	#f78200
chr3	58650000	60250000	B1	#009cdf
chr3	60400000	60650000	B1	#009cdf
chr3	60800000	61500000	B1	#009cdf
chr3	61500000	62000000	A2	#f78200
chr3	62000000	63850000	B1	#009cdf
chr3	63850000	64050000	A2	#f78200
chr3	64050000	65650000	B1	#009cdf
chr3	65650000	66450000	A2	#f78200
chr3	66450000	67900000	B1	#009cdf
chr3	67900000	68800000	B4	#973999
chr3	68800000	69000000	B1	#009cdf
chr3	69000000	69200000	A2	#f78200
chr3	69200000	69850000	B1	#009cdf
chr3	69850000	70800000	B4	#973999
chr3	70800000	71950000	B1	#009cdf
chr3	71950000	73100000	A2	#f78200
chr3	73100000	73550000	B1	#009cdf
chr3	73550000	75200000	B4	#973999
chr3	75200000	75500000	B1	#009cdf
chr3	75550000	75650000	B1	#009cdf
chr3	75650000	81300000	B4	#973999
chr3	81300000	82550000	B1	#009cdf
chr3	82550000	86900000	B4	#973999
chr3	86900000	88350000	B1	#009cdf
chr3	88350000	90250000	B4	#973999
chr3	93450000	93500000	B4	#973999
chr3	93800000	94300000	B1	#009cdf
chr3	94300000	97550000	B4	#973999
chr3	97550000	98500000	B1	#009cdf
chr3	98500000	99000000	A2	#f78200
chr3	99000000	99850000	B1	#009cdf
chr3	99850000	100800000	A2	#f78200
chr3	100800000	101050000	B1	#009cdf
chr3	101050000	101100000	A2	#f78200
chr3	101100000	101400000	B1	#009cdf
chr3	101400000	101950000	A2	#f78200
chr3	101950000	102150000	B1	#009cdf
chr3	102150000	104350000	B0	#5ebd3e
chr3	104350000	104450000	A2	#f78200
