chrom	start	end	GC
chr1	3950000	4000000	0.50582
chr1	4000000	4050000	0.47794
chr1	4050000	4100000	0.51242
chr1	4100000	4150000	0.49968
chr1	4150000	4200000	0.47402
chr1	4200000	4250000	0.4437
chr1	4250000	4300000	0.44506
chr1	4300000	4350000	0.50758
chr1	4350000	4400000	0.48234
chr1	4400000	4450000	0.46186
chr1	4450000	4500000	0.48814
chr1	4500000	4550000	0.46486
chr1	4550000	4600000	0.4577
chr1	4600000	4650000	0.50508
chr1	4650000	4700000	0.53566
chr1	4700000	4750000	0.53482
chr1	4750000	4800000	0.50032
chr1	4800000	4850000	0.42468
chr1	4850000	4900000	0.44652
chr1	4900000	4950000	0.46142
chr1	4950000	5000000	0.45602
chr1	5000000	5050000	0.43246
chr1	5050000	5100000	0.38586
chr1	5100000	5150000	0.43428
chr1	5150000	5200000	0.44528
chr1	5200000	5250000	0.4236
chr1	5250000	5300000	0.48464
chr1	5300000	5350000	0.45956
chr1	5350000	5400000	0.46606
chr1	5400000	5450000	0.49294
chr1	5450000	5500000	0.4933
chr1	5500000	5550000	0.45994
chr1	5550000	5600000	0.45648
chr1	5600000	5650000	0.45098
chr1	5650000	5700000	0.48994
chr1	5700000	5750000	0.5147
chr1	5750000	5800000	0.50696
chr1	5800000	5850000	0.51932
chr1	5850000	5900000	0.54476
chr1	5900000	5950000	0.47108
chr1	5950000	6000000	0.51484
chr1	6000000	6050000	0.55192
chr1	6050000	6100000	0.55872
chr1	6100000	6150000	0.5574
chr1	6150000	6200000	0.54724
chr1	6200000	6250000	0.55386
chr1	6250000	6300000	0.57396
chr1	6300000	6350000	0.53864
chr1	6350000	6400000	0.52216
chr1	6400000	6450000	0.56438
chr1	6450000	6500000	0.59776
chr1	6500000	6550000	0.51228
chr1	6550000	6600000	0.54192
chr1	6600000	6650000	0.53326
chr1	6650000	6700000	0.4463
chr1	6700000	6750000	0.47688
chr1	6750000	6800000	0.45338
chr1	6800000	6850000	0.41036
chr1	6850000	6900000	0.4126
chr1	6900000	6950000	0.48296
chr1	6950000	7000000	0.48992
chr1	7000000	7050000	0.4742
chr1	7050000	7100000	0.49308
chr1	7100000	7150000	0.47404
chr1	7150000	7200000	0.45158
chr1	7200000	7250000	0.4418
chr1	7250000	7300000	0.44722
chr1	7300000	7350000	0.44582
chr1	7350000	7400000	0.48598
chr1	7400000	7450000	0.51796
chr1	7450000	7500000	0.54164
chr1	7500000	7550000	0.5212
chr1	7550000	7600000	0.53258
chr1	7600000	7650000	0.5378
chr1	7650000	7700000	0.5528
chr1	7700000	7750000	0.45676
chr1	7750000	7800000	0.42266
chr1	7800000	7850000	0.39776
chr1	7850000	7900000	0.45356
chr1	7900000	7950000	0.44342
chr1	7950000	8000000	0.46424
chr1	8000000	8050000	0.4262
chr1	8050000	8100000	0.43676
chr1	8100000	8150000	0.45216
chr1	8150000	8200000	0.46152
chr1	8200000	8250000	0.4922
chr1	8250000	8300000	0.4631
chr1	8300000	8350000	0.50712
chr1	8350000	8400000	0.4862
chr1	8400000	8450000	0.441
chr1	8450000	8500000	0.41408
chr1	8500000	8550000	0.41608
chr1	8550000	8600000	0.39866
chr1	8600000	8650000	0.39426
chr1	8650000	8700000	0.4053
chr1	8700000	8750000	0.41264
chr1	8750000	8800000	0.41088
chr1	8800000	8850000	0.45358
chr1	8850000	8900000	0.48806
chr1	8900000	8950000	0.47646
chr1	8950000	9000000	0.47396
chr1	9000000	9050000	0.51144
chr1	9050000	9100000	0.4668
chr1	9100000	9150000	0.49382
chr1	9150000	9200000	0.51588
chr1	9200000	9250000	0.50108
chr1	9250000	9300000	0.51892
chr1	9300000	9350000	0.53988
chr1	9350000	9400000	0.54292
chr1	9400000	9450000	0.50052
chr1	9450000	9500000	0.49628
chr1	9500000	9550000	0.4886
chr1	9550000	9600000	0.48298
chr1	9600000	9650000	0.53752
chr1	9650000	9700000	0.5018
chr1	9700000	9750000	0.52016
chr1	9750000	9800000	0.46784
chr1	9800000	9850000	0.49466
chr1	9850000	9900000	0.5133
chr1	9900000	9950000	0.46324
chr1	9950000	10000000	0.47194
chr1	10000000	10050000	0.46986
chr1	10050000	10100000	0.43788
chr1	10100000	10150000	0.42736
chr1	10150000	10200000	0.45348
chr1	10200000	10250000	0.44048
chr1	10250000	10300000	0.40338
chr1	10300000	10350000	0.41268
chr1	10350000	10400000	0.45888
chr1	10400000	10450000	0.47868
chr1	10450000	10500000	0.47176
chr1	10500000	10550000	0.44268
chr1	10550000	10600000	0.42002
chr1	10600000	10650000	0.54136
chr1	10650000	10700000	0.59538
chr1	10700000	10750000	0.556
chr1	10750000	10800000	0.53506
chr1	10800000	10850000	0.52046
chr1	10850000	10900000	0.52032
chr1	10900000	10950000	0.53014
chr1	10950000	11000000	0.50098
chr1	11000000	11050000	0.47472
chr1	11050000	11100000	0.4905
chr1	11100000	11150000	0.45724
chr1	11150000	11200000	0.4434
chr1	11200000	11250000	0.43196
chr1	11250000	11300000	0.4786
chr1	11300000	11350000	0.5196
chr1	11350000	11400000	0.50678
chr1	11400000	11450000	0.49206
chr1	11450000	11500000	0.52498
chr1	11500000	11550000	0.52258
chr1	11550000	11600000	0.49422
chr1	11600000	11650000	0.51588
chr1	11650000	11700000	0.55058
chr1	11700000	11750000	0.52792
chr1	11750000	11800000	0.53896
chr1	11800000	11850000	0.49042
chr1	11850000	11900000	0.51534
chr1	11900000	11950000	0.51348
chr1	11950000	12000000	0.51856
chr1	12000000	12050000	0.5271
chr1	12050000	12100000	0.50316
chr1	12100000	12150000	0.51384
chr1	12150000	12200000	0.54004
chr1	12200000	12250000	0.4839
chr1	12250000	12300000	0.41432
chr1	12300000	12350000	0.41506
chr1	12350000	12400000	0.40836
chr1	12400000	12450000	0.41542
chr1	12450000	12500000	0.43952
chr1	12500000	12550000	0.48408
chr1	12550000	12600000	0.52418
chr1	12600000	12650000	0.4958
chr1	12650000	12700000	0.4459
chr1	12700000	12750000	0.43018
chr1	12750000	12800000	0.45708
chr1	12800000	12850000	0.44034
chr1	12850000	12900000	0.44836
chr1	12900000	12950000	0.46496
chr1	12950000	13000000	0.45757299270072993
chr1	13000000	13050000	0.4481322343037531
chr1	13050000	13100000	0.46152
chr1	13100000	13150000	0.45218
chr1	13150000	13200000	0.45058
chr1	13200000	13250000	0.4603
chr1	13250000	13300000	0.4668
chr1	13300000	13350000	0.45904
chr1	13350000	13400000	0.46378
chr1	13400000	13450000	0.46972
chr1	13450000	13500000	0.48782
chr1	13500000	13550000	0.49166
chr1	13550000	13600000	0.4535
chr1	13600000	13650000	0.44426
chr1	13650000	13700000	0.42666
chr1	13700000	13750000	0.40556
chr1	13750000	13800000	0.42172
chr1	13800000	13850000	0.47854
chr1	13850000	13900000	0.43688
chr1	13900000	13950000	0.43366
chr1	13950000	14000000	0.42764
chr1	14000000	14050000	0.41678
chr1	14050000	14100000	0.42778
chr1	14100000	14150000	0.45078
chr1	14150000	14200000	0.41584
chr1	14200000	14250000	0.4019
chr1	14250000	14300000	0.4257
chr1	14300000	14350000	0.41354
chr1	14350000	14400000	0.42598
chr1	14400000	14450000	0.4374
chr1	14450000	14500000	0.42558
chr1	14500000	14550000	0.43614
chr1	14550000	14600000	0.45642
chr1	14600000	14650000	0.44782
chr1	14650000	14700000	0.46552
chr1	14700000	14750000	0.47482
chr1	14750000	14800000	0.47752
chr1	14800000	14850000	0.48386
chr1	14850000	14900000	0.47964
chr1	14900000	14950000	0.51808
chr1	14950000	15000000	0.5172
chr1	15000000	15050000	0.5168
chr1	15050000	15100000	0.51144
chr1	15100000	15150000	0.49292
chr1	15150000	15200000	0.49008
chr1	15200000	15250000	0.4671
chr1	15250000	15300000	0.44778
chr1	15300000	15350000	0.48024
chr1	15350000	15400000	0.49322
chr1	15400000	15450000	0.5319
chr1	15450000	15500000	0.48198
chr1	15500000	15550000	0.46142
chr1	15550000	15600000	0.45956
chr1	15600000	15650000	0.44644
chr1	15650000	15700000	0.45696
chr1	15700000	15750000	0.55282
chr1	15750000	15800000	0.52622
chr1	15800000	15850000	0.4849
chr1	15850000	15900000	0.41974
chr1	15900000	15950000	0.46508
chr1	15950000	16000000	0.48868
chr1	16000000	16050000	0.57442
chr1	16050000	16100000	0.55734
chr1	16100000	16150000	0.53942
chr1	16150000	16200000	0.54146
chr1	16200000	16250000	0.5355
chr1	16250000	16300000	0.43812
chr1	16300000	16350000	0.43798
chr1	16350000	16400000	0.48368
chr1	16400000	16450000	0.50346
chr1	16450000	16500000	0.5014
chr1	16500000	16550000	0.45952
chr1	16550000	16600000	0.43618
chr1	16600000	16650000	0.51068
chr1	16650000	16700000	0.47494
chr1	16700000	16750000	0.50806
chr1	16750000	16800000	0.4644142953033786
chr1	16800000	16850000	0.4074074074074074
chr1	16850000	16900000	0.45676
chr1	16900000	16950000	0.52786
chr1	16950000	17000000	0.57296
chr1	17000000	17050000	0.47552
chr1	17050000	17100000	0.50006
chr1	17100000	17150000	0.49818
chr1	17150000	17200000	0.47678
chr1	17200000	17250000	0.52726
chr1	17250000	17300000	0.49776
chr1	17300000	17350000	0.48394
chr1	17350000	17400000	0.51406
chr1	17400000	17450000	0.51526
chr1	17450000	17500000	0.48432
chr1	17500000	17550000	0.50762
chr1	17550000	17600000	0.53604
chr1	17600000	17650000	0.55148
chr1	17650000	17700000	0.55176
chr1	17700000	17750000	0.51394
chr1	17750000	17800000	0.50268
chr1	17800000	17850000	0.47162
chr1	17850000	17900000	0.49038
chr1	17900000	17950000	0.47328
chr1	17950000	18000000	0.4807
chr1	18000000	18050000	0.48654
chr1	18050000	18100000	0.48866
chr1	18100000	18150000	0.51222
chr1	18150000	18200000	0.50092
chr1	18200000	18250000	0.48478
chr1	18250000	18300000	0.5017
chr1	18300000	18350000	0.49646
chr1	18350000	18400000	0.49682
chr1	18400000	18450000	0.4666
chr1	18450000	18500000	0.4819
chr1	18500000	18550000	0.44756
chr1	18550000	18600000	0.49594
chr1	18600000	18650000	0.51372
chr1	18650000	18700000	0.51178
chr1	18700000	18750000	0.52298
chr1	18750000	18800000	0.47322
chr1	18800000	18850000	0.51094
chr1	18850000	18900000	0.54002
chr1	18900000	18950000	0.53942
chr1	18950000	19000000	0.47784
chr1	19000000	19050000	0.47418
chr1	19050000	19100000	0.51974
chr1	19100000	19150000	0.43684
chr1	19150000	19200000	0.41572
chr1	19200000	19250000	0.45418
chr1	19250000	19300000	0.49042
chr1	19300000	19350000	0.53836
chr1	19350000	19400000	0.50802
chr1	19400000	19450000	0.46828
chr1	19450000	19500000	0.48152
chr1	19500000	19550000	0.44624
chr1	19550000	19600000	0.45708
chr1	19600000	19650000	0.46008
chr1	19650000	19700000	0.53072
chr1	19700000	19750000	0.48656
chr1	19750000	19800000	0.48372
chr1	19800000	19850000	0.44378
chr1	19850000	19900000	0.42872
chr1	19900000	19950000	0.45266
chr1	19950000	20000000	0.45808
chr1	20000000	20050000	0.40382
chr1	20050000	20100000	0.4572
chr1	20100000	20150000	0.48846
chr1	20150000	20200000	0.5003
chr1	20200000	20250000	0.45082
chr1	20250000	20300000	0.48034
chr1	20300000	20350000	0.4992
chr1	20350000	20400000	0.4996
chr1	20400000	20450000	0.4842
chr1	20450000	20500000	0.50742
chr1	20500000	20550000	0.46106
chr1	20550000	20600000	0.49158
chr1	20600000	20650000	0.48392
chr1	20650000	20700000	0.517
chr1	20700000	20750000	0.51732
chr1	20750000	20800000	0.42524
chr1	20800000	20850000	0.4154
chr1	20850000	20900000	0.38568
chr1	20900000	20950000	0.37538
chr1	20950000	21000000	0.37508
chr1	21000000	21050000	0.4008
chr1	21050000	21100000	0.39096
chr1	21100000	21150000	0.39556
chr1	21150000	21200000	0.44624
chr1	21200000	21250000	0.49736
chr1	21250000	21300000	0.51838
chr1	21300000	21350000	0.52906
chr1	21350000	21400000	0.47274
chr1	21400000	21450000	0.46746
chr1	21450000	21500000	0.44286
chr1	21500000	21550000	0.50818
chr1	21550000	21600000	0.54404
chr1	21600000	21650000	0.56238
chr1	21650000	21700000	0.49092
chr1	21700000	21750000	0.4003
chr1	21750000	21800000	0.45546
chr1	21800000	21850000	0.53778
chr1	21850000	21900000	0.5688
chr1	21900000	21950000	0.52976
chr1	21950000	22000000	0.50492
chr1	22000000	22050000	0.48094
chr1	22050000	22100000	0.4233
chr1	22100000	22150000	0.52696
chr1	22150000	22200000	0.50688
chr1	22200000	22250000	0.5156
chr1	22250000	22300000	0.52226
chr1	22300000	22350000	0.4818
chr1	22350000	22400000	0.4806
chr1	22400000	22450000	0.4462
chr1	22450000	22500000	0.41582
chr1	22500000	22550000	0.47924
chr1	22550000	22600000	0.56146
chr1	22600000	22650000	0.52638
chr1	22650000	22700000	0.49848
chr1	22700000	22750000	0.51308
chr1	22750000	22800000	0.52124
chr1	22800000	22850000	0.51478
chr1	22850000	22900000	0.5225
chr1	22900000	22950000	0.48644
chr1	22950000	23000000	0.46342
chr1	23000000	23050000	0.4167
chr1	23050000	23100000	0.41322
chr1	23100000	23150000	0.41946
chr1	23150000	23200000	0.4605
chr1	23200000	23250000	0.47684
chr1	23250000	23300000	0.42638
chr1	23300000	23350000	0.40096
chr1	23350000	23400000	0.47028
chr1	23400000	23450000	0.49752
chr1	23450000	23500000	0.48874
chr1	23500000	23550000	0.50224
chr1	23550000	23600000	0.4902
chr1	23600000	23650000	0.4965
chr1	23650000	23700000	0.4714
chr1	23700000	23750000	0.4612
chr1	23750000	23800000	0.48424
chr1	23800000	23850000	0.46712
chr1	23850000	23900000	0.46452
chr1	23900000	23950000	0.46842
chr1	23950000	24000000	0.43762
chr1	24000000	24050000	0.4505
chr1	24050000	24100000	0.51372
chr1	24100000	24150000	0.50662
chr1	24150000	24200000	0.4746
chr1	24200000	24250000	0.47966
chr1	24250000	24300000	0.45762
chr1	24300000	24350000	0.4876
chr1	24350000	24400000	0.46198
chr1	24400000	24450000	0.43088
chr1	24450000	24500000	0.45476
chr1	24500000	24550000	0.42732
chr1	24550000	24600000	0.48822
chr1	24600000	24650000	0.43944
chr1	24650000	24700000	0.43752
chr1	24700000	24750000	0.49676
chr1	24750000	24800000	0.4156
chr1	24800000	24850000	0.41412
chr1	24850000	24900000	0.47154
chr1	24900000	24950000	0.55388
chr1	24950000	25000000	0.52102
chr1	25000000	25050000	0.52728
chr1	25050000	25100000	0.50424
chr1	25100000	25150000	0.4755
chr1	25150000	25200000	0.45758
chr1	25200000	25250000	0.456
chr1	25250000	25300000	0.4661
chr1	25300000	25350000	0.45318
chr1	25350000	25400000	0.45164
chr1	25400000	25450000	0.44988
chr1	25450000	25500000	0.40792
chr1	25500000	25550000	0.50322
chr1	25550000	25600000	0.52292
chr1	25600000	25650000	0.4577
chr1	25650000	25700000	0.47632
chr1	25700000	25750000	0.4925
chr1	25750000	25800000	0.52418
chr1	25800000	25850000	0.4955
chr1	25850000	25900000	0.49284
chr1	25900000	25950000	0.46514
chr1	25950000	26000000	0.46138
chr1	26000000	26050000	0.52636
chr1	26050000	26100000	0.47302
chr1	26100000	26150000	0.44418
chr1	26150000	26200000	0.53144
chr1	26200000	26250000	0.46664
chr1	26250000	26300000	0.50616
chr1	26300000	26350000	0.51574
chr1	26350000	26400000	0.49934
chr1	26400000	26450000	0.46318
chr1	26450000	26500000	0.46738
chr1	26500000	26550000	0.51334
chr1	26550000	26600000	0.49606
chr1	26600000	26650000	0.44952
chr1	26650000	26700000	0.4563
chr1	26700000	26750000	0.44176
chr1	26750000	26800000	0.4722
chr1	26800000	26850000	0.50204
chr1	26850000	26900000	0.51096
chr1	26900000	26950000	0.4864
chr1	26950000	27000000	0.50406
chr1	27000000	27050000	0.51136
chr1	27050000	27100000	0.49892
chr1	27100000	27150000	0.52544
chr1	27150000	27200000	0.46774
chr1	27200000	27250000	0.4544
chr1	27250000	27300000	0.4509
chr1	27300000	27350000	0.51628
chr1	27350000	27400000	0.56158
chr1	27400000	27450000	0.45344
chr1	27450000	27500000	0.44486
chr1	27500000	27550000	0.5345
chr1	27550000	27600000	0.56226
chr1	27600000	27650000	0.5276
chr1	27650000	27700000	0.47288
chr1	27700000	27750000	0.44518
chr1	27750000	27800000	0.4255
chr1	27800000	27850000	0.42548
chr1	27850000	27900000	0.5099
chr1	27900000	27950000	0.4684
chr1	27950000	28000000	0.46326
chr1	28000000	28050000	0.39034
chr1	28050000	28100000	0.39148
chr1	28100000	28150000	0.46032
chr1	28150000	28200000	0.4819
chr1	28200000	28250000	0.43904
chr1	28250000	28300000	0.48228
chr1	28300000	28350000	0.45302
chr1	28350000	28400000	0.45364
chr1	28400000	28450000	0.40878
chr1	28450000	28500000	0.43822
chr1	28500000	28550000	0.49188
chr1	28550000	28600000	0.4883
chr1	28600000	28650000	0.4604
chr1	28650000	28700000	0.47184
chr1	28700000	28750000	0.45686
chr1	28750000	28800000	0.45428
chr1	28800000	28850000	0.49248
chr1	28850000	28900000	0.51214
chr1	28900000	28950000	0.43214
chr1	28950000	29000000	0.40202
chr1	29000000	29050000	0.39608
chr1	29050000	29100000	0.40082
chr1	29100000	29150000	0.50838
chr1	29150000	29200000	0.4512
chr1	29200000	29250000	0.49842
chr1	29250000	29300000	0.49492
chr1	29300000	29350000	0.5103
chr1	29350000	29400000	0.48582
chr1	29400000	29450000	0.46972
chr1	29450000	29500000	0.4949
chr1	29500000	29550000	0.48186
chr1	29550000	29600000	0.491259969420224
chr1	29600000	29650000	0.45832
chr1	29650000	29700000	0.4768
chr1	29700000	29750000	0.50842
chr1	29750000	29800000	0.44796
chr1	29800000	29850000	0.47042
chr1	29850000	29900000	0.47964
chr1	29900000	29950000	0.48486
chr1	29950000	30000000	0.4593
chr1	30000000	30050000	0.48128
chr1	30050000	30100000	0.49774
chr1	30100000	30150000	0.50356
chr1	30150000	30200000	0.44738
chr1	30200000	30250000	0.46014
chr1	30250000	30300000	0.478
chr1	30300000	30350000	0.48272
chr1	30350000	30400000	0.48428
chr1	30400000	30450000	0.47286
chr1	30450000	30500000	0.48634
chr1	30500000	30550000	0.47878
chr1	30550000	30600000	0.42184
chr1	30600000	30650000	0.48158
chr1	30650000	30700000	0.51398
chr1	30700000	30750000	0.53646
chr1	30750000	30800000	0.52494
chr1	30800000	30850000	0.4939
chr1	30850000	30900000	0.52874
chr1	30900000	30950000	0.47814
chr1	30950000	31000000	0.39534
chr1	31000000	31050000	0.40682
chr1	31050000	31100000	0.4513
chr1	31100000	31150000	0.46528
chr1	31150000	31200000	0.50608
chr1	31200000	31250000	0.49686
chr1	31250000	31300000	0.42856
chr1	31300000	31350000	0.4164
chr1	31350000	31400000	0.47266
chr1	31400000	31450000	0.50618
chr1	31450000	31500000	0.4156
chr1	31500000	31550000	0.47112
chr1	31550000	31600000	0.48054
chr1	31600000	31650000	0.48596
chr1	31650000	31700000	0.55524
chr1	31700000	31750000	0.5594
chr1	31750000	31800000	0.55666
chr1	31800000	31850000	0.45888
chr1	31850000	31900000	0.43994
chr1	31900000	31950000	0.42718
chr1	31950000	32000000	0.4626
chr1	32000000	32050000	0.4439
chr1	32050000	32100000	0.47868
chr1	32100000	32150000	0.44416
chr1	32150000	32200000	0.47344
chr1	32200000	32250000	0.52218
chr1	32250000	32300000	0.49524
chr1	32300000	32350000	0.49298
chr1	32350000	32400000	0.49642
chr1	32400000	32450000	0.45274
chr1	32450000	32500000	0.45324
chr1	32500000	32550000	0.45572
chr1	32550000	32600000	0.43364
chr1	32600000	32650000	0.44282
chr1	32650000	32700000	0.4469
chr1	32700000	32750000	0.52812
chr1	32750000	32800000	0.50088
chr1	32800000	32850000	0.4323
chr1	32850000	32900000	0.5191
chr1	32900000	32950000	0.45794
chr1	32950000	33000000	0.48786
chr1	33000000	33050000	0.45092
chr1	33050000	33100000	0.48588
chr1	33100000	33150000	0.46276
chr1	33150000	33200000	0.48596
chr1	33200000	33250000	0.42622
chr1	33250000	33300000	0.50694
chr1	33300000	33350000	0.50142
chr1	33350000	33400000	0.4721
chr1	33400000	33450000	0.41134
chr1	33450000	33500000	0.4522
chr1	33500000	33550000	0.44878
chr1	33550000	33600000	0.43096
chr1	33600000	33650000	0.468
chr1	33650000	33700000	0.4476
chr1	33700000	33750000	0.43562
chr1	33750000	33800000	0.46048
chr1	33800000	33850000	0.44364
chr1	33850000	33900000	0.4486
chr1	33900000	33950000	0.46268
chr1	33950000	34000000	0.4774
chr1	34000000	34050000	0.4427
chr1	34050000	34100000	0.44694
chr1	34100000	34150000	0.44414
chr1	34150000	34200000	0.48596
chr1	34200000	34250000	0.43146
chr1	34250000	34300000	0.434
chr1	34300000	34350000	0.41826
chr1	34350000	34400000	0.41448
chr1	34400000	34450000	0.46062
chr1	34450000	34500000	0.43536
chr1	34500000	34550000	0.41012
chr1	34550000	34600000	0.43518
chr1	34600000	34650000	0.458
chr1	34650000	34700000	0.44648
chr1	34700000	34750000	0.47064
chr1	34750000	34800000	0.51376
chr1	34800000	34850000	0.44798
chr1	34850000	34900000	0.46988
chr1	34900000	34950000	0.47382
chr1	34950000	35000000	0.42038
chr1	35000000	35050000	0.40244
chr1	35050000	35100000	0.42736
chr1	35100000	35150000	0.4263
chr1	35150000	35200000	0.4334
chr1	35200000	35250000	0.4251
chr1	35250000	35300000	0.41236
chr1	35300000	35350000	0.39044
chr1	35350000	35400000	0.37042
chr1	35400000	35450000	0.43062
chr1	35450000	35500000	0.4083
chr1	35500000	35550000	0.40516
chr1	35550000	35600000	0.51028
chr1	35600000	35650000	0.41162
chr1	35650000	35700000	0.46078
chr1	35700000	35750000	0.46816
chr1	35750000	35800000	0.42804
chr1	35800000	35850000	0.42768
chr1	35850000	35900000	0.44028
chr1	35900000	35950000	0.42528
chr1	35950000	36000000	0.37398
chr1	36000000	36050000	0.40008
chr1	36050000	36100000	0.45996
chr1	36100000	36150000	0.52622
chr1	36150000	36200000	0.52396
chr1	36200000	36250000	0.46468
chr1	36250000	36300000	0.42892
chr1	36300000	36350000	0.53092
chr1	36350000	36400000	0.50616
chr1	36400000	36450000	0.45832
chr1	36450000	36500000	0.49594
chr1	36500000	36550000	0.47428
chr1	36550000	36600000	0.5039
chr1	36600000	36650000	0.48732
chr1	36650000	36700000	0.47526
chr1	36700000	36750000	0.47196
chr1	36750000	36800000	0.49852
chr1	36800000	36850000	0.50822
chr1	36850000	36900000	0.47644
chr1	36900000	36950000	0.47792
chr1	36950000	37000000	0.521
chr1	37000000	37050000	0.50388
chr1	37050000	37100000	0.49164
chr1	37100000	37150000	0.47942
chr1	37150000	37200000	0.42138
chr1	37200000	37250000	0.4162
chr1	37250000	37300000	0.48574
chr1	37300000	37350000	0.4906
chr1	37350000	37400000	0.46596
chr1	37400000	37450000	0.4888
chr1	37450000	37500000	0.49378
chr1	37500000	37550000	0.44668
chr1	37550000	37600000	0.44624
chr1	37600000	37650000	0.49666
chr1	37650000	37700000	0.49784
chr1	37700000	37750000	0.48984
chr1	37750000	37800000	0.48942
chr1	37800000	37850000	0.45106
chr1	37850000	37900000	0.45864
chr1	37900000	37950000	0.47538
chr1	37950000	38000000	0.46892
chr1	38000000	38050000	0.51898
chr1	38050000	38100000	0.50268
chr1	38100000	38150000	0.49946
chr1	38150000	38200000	0.46054
chr1	38200000	38250000	0.48218
chr1	38250000	38300000	0.4762
chr1	38300000	38350000	0.41606
chr1	38350000	38400000	0.413
chr1	38400000	38450000	0.40468
chr1	38450000	38500000	0.4446
chr1	38500000	38550000	0.43452
chr1	38550000	38600000	0.46522
chr1	38600000	38650000	0.45714
chr1	38650000	38700000	0.43336
chr1	38700000	38750000	0.448
chr1	38750000	38800000	0.44676
chr1	38800000	38850000	0.4531
chr1	38850000	38900000	0.429
chr1	38900000	38950000	0.4567
chr1	38950000	39000000	0.45258
chr1	39000000	39050000	0.45726
chr1	39050000	39100000	0.47302
chr1	39100000	39150000	0.43832
chr1	39150000	39200000	0.42956
chr1	39200000	39250000	0.4341
chr1	39250000	39300000	0.40618
chr1	39300000	39350000	0.4086
chr1	39350000	39400000	0.41926
chr1	39400000	39450000	0.41326
chr1	39450000	39500000	0.46278
chr1	39500000	39550000	0.50686
chr1	39550000	39600000	0.474
chr1	39600000	39650000	0.49888
chr1	39650000	39700000	0.51314
chr1	39700000	39750000	0.42946
chr1	39750000	39800000	0.5294
chr1	39800000	39850000	0.45612
chr1	39850000	39900000	0.43718
chr1	39900000	39950000	0.49054
chr1	39950000	40000000	0.48768
chr1	40000000	40050000	0.43084
chr1	40050000	40100000	0.43274
chr1	40100000	40150000	0.41052
chr1	40150000	40200000	0.39962
chr1	40200000	40250000	0.4043
chr1	40250000	40300000	0.42048
chr1	40300000	40350000	0.48418
chr1	40350000	40400000	0.42806
chr1	40400000	40450000	0.4125
chr1	40450000	40500000	0.4154
chr1	40500000	40550000	0.41892
chr1	40550000	40600000	0.42664
chr1	40600000	40650000	0.47332
chr1	40650000	40700000	0.4746
chr1	40700000	40750000	0.4156
chr1	40750000	40800000	0.499
chr1	40800000	40850000	0.53404
chr1	40850000	40900000	0.4866
chr1	40900000	40950000	0.45704
chr1	40950000	41000000	0.45666
chr1	41000000	41050000	0.48466
chr1	41050000	41100000	0.39178
